=====Started FindAllFeaturesByPhi at 4/19/2021 6:14:41 PM
Feature 032 	 R = 0.017477, MaxR = 
Feature 034 	 R = 0.010638, MaxR = 
Feature 038 	 R = 0.009878, MaxR = 
Feature 042 	 R = 0.009119, MaxR = 
Feature 036 	 R = 0.010638, MaxR = 
Feature 044 	 R = 0.015198, MaxR = 
Feature 040 	 R = 0.011398, MaxR = 
Feature 050 	 R = 0.016717, MaxR = 
Feature 046 	 R = 0.018997, MaxR = 
Feature 048 	 R = 0.015957, MaxR = 
Feature 057 	 R = 0.013678, MaxR = 
Feature 043 	 R = 0.010638, MaxR = 
Feature 052 	 R = 0.015198, MaxR = 
Feature 054 	 R = 0.016717, MaxR = 
Feature 056 	 R = 0.010638, MaxR = 
Feature 047 	 R = 0.016717, MaxR = 
Feature 049 	 R = 0.018237, MaxR = 
Feature 051 	 R = 0.014438, MaxR = 
Feature 060 	 R = 0.008359, MaxR = 
Feature 055 	 R = 0.016717, MaxR = 
Feature 058 	 R = 0.008359, MaxR = 
Feature 053 	 R = 0.012918, MaxR = 
Feature 061 	 R = 0.018997, MaxR = 
Feature 062 	 R = 0.016717, MaxR = 
Feature 072 	 R = 0.045593, MaxR = 
Feature 068 	 R = 0.036474, MaxR = 
Feature 077 	 R = 0.053951, MaxR = 
Feature 081 	 R = 0.290274, MaxR = 
Feature 085 	 R = 0.504559, MaxR = 
Feature 076 	 R = 0.126900, MaxR = 0.504559
Feature 059 	 R = 0.012918, MaxR = 0.504559
Feature 089 	 R = 0.992401, MaxR = 0.504559
Feature 069 	 R = 0.039514, MaxR = 0.992401
Feature 073 	 R = 0.048632, MaxR = 0.992401
Feature 082 	 R = 0.050152, MaxR = 0.992401
Feature 086 	 R = 0.135258, MaxR = 0.992401
Feature 078 	 R = 0.136778, MaxR = 0.992401
Feature 090 	 R = 0.999240, MaxR = 0.992401
Feature 074 	 R = 0.090426, MaxR = 0.999240
Feature 087 	 R = 0.984043, MaxR = 0.999240
Feature 083 	 R = 0.727204, MaxR = 0.999240
Feature 079 	 R = 0.053191, MaxR = 0.999240
Feature 070 	 R = 0.037234, MaxR = 0.999240
Feature 088 	 R = 0.993921, MaxR = 0.999240
Feature 080 	 R = 0.092705, MaxR = 0.999240
Feature 075 	 R = 0.046353, MaxR = 0.999240
Feature 065 	 R = 0.056991, MaxR = 0.999240
Feature 084 	 R = 0.297112, MaxR = 0.999240
Feature 071 	 R = 0.040274, MaxR = 0.999240
Feature 066 	 R = 0.037234, MaxR = 0.999240
Feature 067 	 R = 0.035714, MaxR = 0.999240
	Found 0.999240121580547112462006079 at index 90. Active features [63,64,45,90]
Feature 007 	 R = 0.011398, MaxR = 
Feature 001 	 R = 0.016717, MaxR = 
Feature 003 	 R = 0.012918, MaxR = 
Feature 005 	 R = 0.011398, MaxR = 
Feature 008 	 R = 0.009119, MaxR = 
Feature 006 	 R = 0.010638, MaxR = 
Feature 004 	 R = 0.009878, MaxR = 
Feature 002 	 R = 0.009878, MaxR = 
Feature 009 	 R = 0.012918, MaxR = 
Feature 011 	 R = 0.011398, MaxR = 
Feature 010 	 R = 0.009878, MaxR = 
Feature 015 	 R = 0.009119, MaxR = 
Feature 014 	 R = 0.011398, MaxR = 
Feature 012 	 R = 0.009878, MaxR = 
Feature 013 	 R = 0.011398, MaxR = 
Feature 016 	 R = 0.016717, MaxR = 
Feature 019 	 R = 0.010638, MaxR = 
Feature 018 	 R = 0.011398, MaxR = 
Feature 017 	 R = 0.009119, MaxR = 
Feature 020 	 R = 0.013678, MaxR = 
Feature 021 	 R = 0.012158, MaxR = 
Feature 023 	 R = 0.012158, MaxR = 
Feature 022 	 R = 0.013678, MaxR = 
Feature 024 	 R = 0.009119, MaxR = 
Feature 025 	 R = 0.010638, MaxR = 
